Joueur;Poste;Cote;Enchère moy;Note;Note série;Note 1 an;Nb match;Nb match série;Nb match 1 an;Variation;Var série;Var 1 an;But;Buts série;Buts 1 an;%Titu;%Titu série;%Titu 1 an;Temps;Tps série;Tps 1 an;Tps moy;Tps moy série;Tps moy 1 an;Min/But;Min/But 1 an;Min note/but;Prix/but;j19;j18;j17;j16;j15;j14;j13;j12;j11;j10;j9;j8;j7;j6;j5;j4;j3;j2;j1;j38;j37;j36;j35;j34;j33;j32;j31;j30;j29;j28;j27;j26;j25;j24;j23;j22;j21;j20;Cleansheet;But/Peno;But/Coup-franc;But/surface;Pass decis.;Occas° créée;Corner gagné;%Passes;Ballons;Interceptions;Tacles;%Duel;Fautes;But évité;Action stoppée;DMI;Club;Prochain opposant;Date;Victoire probable;%Win+12J;%Win+16J;%Win+20J;Dispo@MPGLaurent?
Chétti Ilyés;DL;4;4;4.5;0;4.5;3;0;3;0;0;0;0;0;0;0;0;0;89;0;89;29.67;0;29.67;;;;1000;0;0;4.5;0;0;0;0;0;0;0;0;0;0;0;0;4.5;0;4.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;1;;0.9444;77;1;;33.33;1;;;0;Angers SCO;Brest;dim. 29/01 15:00;50;0.36549;0.31823;;
Ahmed Fatah Amar;MO;4;4;4.5;0;4.5;1;0;1;0;0;0;0;0;0;0;0;0;19;0;19;19;0;19;;;;1000;0;0;0;4.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;0.6;22;1;1;33.33;1;;;0;Troyes;RC Lens;sam. 28/01 17:00;50;0.41205;0.37962;;
Gueguin Axel;MO;1;;4.5;0;4.5;2;0;2;0;0;0;0;0;0;0;0;0;12;0;12;6;0;6;;;;1000;0;0;0;0;0;0;0;0;4.5;0;4.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;0.6667;11;;;;;;;0;Montpellier;AJ Auxerre;dim. 29/01 15:00;50;0.40248;0.37552;;
Bouebari Franci;DC;1;1;4.5;4.5;4.5;1;1;1;0;0;0;0;0;0;0;0;0;72;72;72;72;72;72;;;;1000;4.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;;;;;;;0.5385;38;2;;41.67;2;;;0;Strasbourg;Toulouse FC;dim. 29/01 15:00;50;0.49417;0.48132;;
Jullien Christopher;DC;11;13;4.46;4.35;4.46;14;13;14;1.15;1.11;1.15;0;0;0;1;1;1;1256;1166;1256;89.71;89.69;89.71;;;;1000;4;2;4.5;6;5;5;3;5;5;4;3;5;5;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;;;;;1;3;0.8358;673;15;16;59.02;16;;;0;Montpellier;AJ Auxerre;dim. 29/01 15:00;50;0.40248;0.37552;;
Valery Yan;DL;9;9;4.45;0;4.47;11;0;17;0.65;0;0.7;0;0;0;1;0;0.88;852;0;1266;77.45;0;74.47;;;;1000;0;0;4.5;5.5;5;0;5;4.5;4;3.5;3.5;4.5;5;4;0;0;0;0;0;0;0;0;0;0;5.5;4;0;4.5;0;4;0;0;0;0;0;0;0;5.5;2;;;;;2;8;0.7634;524;10;14;47.87;13;;;0;Angers SCO;Brest;dim. 29/01 15:00;50;0.36549;0.31823;;
Vidal Clément;DC;7;9;4.45;3.5;5.13;11;2;27;0.96;2.12;0.89;0;0;0;0.64;0.5;0.78;664;92;1953;60.36;46;72.33;;;;1000;2;5;0;0;0;4;5;0;0;5;3.5;5;4.5;5;5;0;5;0;0;6;5.5;6;5;5.5;6;5.5;5.5;6.5;5.5;5;0;5;6;5;0;0;5.5;6;;;;;;1;1;0.6364;415;12;7;65.63;6;;;0;AC Ajaccio;OL;dim. 29/01 17:05;50;0.3532;0.33573;;
Diallo Ismaël;DL;10;10;4.44;4.42;4.54;16;6;26;0.85;0.97;0.75;0;0;0;0.88;1;0.92;1260;514;2142;78.75;85.67;82.38;;;;1000;3;4.5;4;5.5;4;5.5;0;4.5;0;5;3;5.5;4.5;4.5;0;3;4.5;5;5;0;0;0;0;3.5;0;0;0;0;4.5;5;0;4.5;5;5.5;4.5;4.5;5;5;2.5;;;;;;1;0.7616;773;13;13;45.95;25;;;5,00;AC Ajaccio;OL;dim. 29/01 17:05;50;0.3532;0.33573;;
Holm Noah;A;8;8;4.44;0;4.44;8;0;8;0.32;0;0.32;0;0;0;0.25;0;0.25;190;0;190;23.75;0;23.75;;;;1000;0;0;4;4.5;5;4;4.5;4.5;0;0;4.5;4.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;1;0.4932;100;;4;40;6;;;0;Reims;Paris SG;dim. 29/01 20:45;50;0.49646;0.48842;;† Genou
Bamba Abdoulaye;DL;5;5;4.39;4.75;4.47;9;2;19;0.74;0.35;0.74;0;0;0;0.44;1;0.42;552;180;1007;61.33;90;53;;;;1000;5;4.5;0;0;0;0;4;0;0;5;0;0;5;3;3.5;4.5;5;0;0;5;5;5;3.5;4;3;5;5;5;5;0;0;0;0;0;0;0;0;0;;;;;;;2;0.8567;338;7;7;68.89;5;;;5,00;Angers SCO;Brest;dim. 29/01 15:00;50;0.36549;0.31823;;
Barcola Bradley;A;4;4;4.39;5;4.55;9;1;20;0.33;0;0.63;0;0;0;0;0;0.1;107;32;364;11.89;32;18.2;;;;1000;5;0;4.5;0;0;0;0;0;0;0;4;4.5;0;4.5;4.5;4.5;0;4;4;5.5;3;0;5.5;4.5;4.5;6;4.5;0;4.5;0;0;4.5;0;0;4.5;0;0;0;;;;;;;;0.7809;74;1;2;34.78;3;;;4,00;OL;AC Ajaccio;dim. 29/01 17:05;50;0.61889;0.62095;;
Nyamsi Gerzino;DC;11;11;4.38;4.44;4.89;12;9;32;0.64;0.73;0.89;0;0;0;1;1;1;973;765;2773;81.08;85;86.66;;;;1000;5.5;4;3.5;4;5.5;4;4.5;5;4;0;4;0;0;0;0;0;0;4.5;4;3;6;5.5;4;5.5;5.5;5.5;5.5;6;5.5;5.5;5;5;5;6;6;3;5.5;5.5;;;;;;;;0.8655;625;8;9;53.42;20;;;5,00;Strasbourg;Toulouse FC;dim. 29/01 15:00;50;0.49417;0.48132;;† Adducteurs
Hountondji Cédric;DC;11;11;4.37;4.37;4.41;19;19;29;0.9;0.9;0.94;0;0;1;1;1;1;1698;1698;2598;89.37;89.37;89.59;;2598;5.5;1000;3.5;4;4.5;5.5;6;4.5;4.5;4.5;4;4;4;5.5;6;3;3;4;4;3.5;5;0;0;0;0;0;0;0;0;0;4;3;3;5;6;5.5;5.5;5;4;0;2.5;;;;;;;0.8574;965;24;14;53.26;21;;;4,00;Angers SCO;Brest;dim. 29/01 15:00;50;0.36549;0.31823;;Sursis (3sem.)
Gonzalez Oumar;DC;7;8;4.36;3.17;4.9;14;3;31;1.23;1.04;1.12;0;0;0;1;1;0.97;1219;270;2567;87.07;90;82.81;;;;1000;2;4;3.5;0;4.5;0;0;3.5;5.5;6;0;6;0;4;4.5;3;3.5;5;6;5;5;6;6;5.5;6;5.5;5.5;5.5;6;4.5;6;5;0;6;4.5;3;6;0;1.5;;;;;;1;0.8324;646;26;13;56.06;19;;;6,00;AC Ajaccio;OL;dim. 29/01 17:05;50;0.3532;0.33573;;
Cardona Irvin;A;6;12;4.35;0;4.48;10;0;24;0.34;0;0.68;0;0;2;0.1;0;0.25;225;0;768;22.5;0;32;;384;6;1000;0;0;0;0;0;4;0;4.5;4.5;0;4;4.5;4.5;4;0;0;4.5;5;4;4;4;4;5;6;6;4.5;0;0;3.5;6;0;0;4.5;0;4;4;4;4.5;;;;;;;4;0.5974;93;2;;28.57;5;;;4,00;Brest;Angers SCO;dim. 29/01 15:00;50;0.35544;0.38726;;
Touzghar Yoann;A;8;8;4.31;0;4.55;8;0;21;0.26;0;0.63;0;0;2;0.63;0;0.43;392;0;862;49;0;41.05;;431;6;1000;0;0;4;4.5;0;4.5;0;0;0;0;4;4;4.5;4.5;4.5;0;0;0;0;6.5;4;0;4.5;4;4.5;4.5;4.5;4.5;4.5;0;0;6;4.5;5;4;0;0;0;1;;;;;;;0.7403;138;;2;34.78;4;;;0;AC Ajaccio;OL;dim. 29/01 17:05;50;0.3532;0.33573;;
Mensah Gideon;DL;8;8;4.3;0;4.35;10;0;24;1.21;0;1.12;0;0;0;1;0;0.79;888;0;1699;88.8;0;70.79;;;;1000;0;3.5;5;3.5;2.5;6;6;0;0;0;0;4.5;3;4;5;0;0;0;0;0;4;3;5;0;0;2.5;6.5;5;4;5;3.5;4.5;5.5;4;3.5;0;0;0;1;;;;;1;2;0.8313;724;17;13;51.79;17;;;0;AJ Auxerre;Montpellier;dim. 29/01 15:00;50;0.36653;0.3581;;Sursis (3sem.)
Coeff Alexandre;DC;5;;4.29;0;4.93;7;0;21;1.6;0;1.1;0;0;1;0.86;0;0.71;585;0;1527;83.57;0;72.71;;1527;7;1000;0;0;0;0;0;0;0;0;0;4;0;3.5;1.5;4;5;6.5;5.5;0;0;4.5;0;5;5.5;7;5.5;5.5;0;5;5.5;5;0;5;5;5;5;0;0;5;1;;;;1;1;2;0.8258;434;8;5;45.95;3;;;5.5;AJ Auxerre;Montpellier;dim. 29/01 15:00;50;0.36653;0.3581;;🏠Hors groupe (2sem.)
Amadou Ibrahim;MD;6;7;4.25;0;4.69;6;0;16;0.82;0;1.01;0;0;1;0.67;0;0.88;399;0;1213;66.5;0;75.81;;1213;7;1000;0;0;0;0;0;4;3.5;4;3.5;5.5;5;0;0;0;0;0;0;0;0;0;0;0;0;0;4;5;0;7;4;0;6;4.5;6;4;5;4;0;0;;;;;;;;0.857;230;9;6;51.52;4;;;0;Angers SCO;Brest;dim. 29/01 15:00;50;0.36549;0.31823;;† Reprise
Léo Jardim;G;7;8;4.17;0;5.21;6;0;21;1.21;0;1.33;0;0;0;1;0;1;540;0;1890;90;0;90;;;;1000;0;0;0;0;0;0;0;0;0;0;0;0;0;4;4;5;2;4.5;5.5;4;6;4;4;7;5;5.5;5.5;5.5;6;6;6;8;5;7;0;0;0;0;;;;;;;;;;;;;;3;1;5,00;LOSC;OGC Nice;dim. 29/01 13:00;50;0.60094;0.61564;;
Sabanovic Halid;DL;1;1;4.13;0;4.13;4;0;4;0.85;0;0.85;0;0;0;1;0;1;259;0;259;64.75;0;64.75;;;;1000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4.5;0;3;4;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.5;;;;;;1;0.779;172;3;2;45;4;;;3,00;Angers SCO;Brest;dim. 29/01 15:00;50;0.36549;0.31823;;
Logan Costa Logan;DC;1;1;4;0;4.17;1;0;3;0;0;0.76;0;0;0;0;0;0.33;45;0;143;45;0;47.67;;;;1000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;3.5;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;0.95;23;1;;50;;;;0;Toulouse FC;Strasbourg;dim. 29/01 15:00;50;0.40019;0.41164;;
Chabrolle Florian;MO;1;1;4;4;4.72;2;2;9;1.41;1.41;0.67;0;0;0;0.5;0.5;0.33;103;103;273;51.5;51.5;30.33;;;;1000;3;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;5;5;5;0;0;0;0;0;0;5;4.5;5;0;;;;;;;;0.8792;40;2;2;28.57;1;;;0;AC Ajaccio;OL;dim. 29/01 17:05;50;0.3532;0.33573;;
Sierhuis Kaj;A;1;1;4;0;4;1;0;1;0;0;0;0;0;0;0;0;0;13;0;13;13;0;13;;;;1000;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;3;;;;1;;;0;Reims;Paris SG;dim. 29/01 20:45;50;0.49646;0.48842;;
Ben Seghir Salim;A;3;3;4;0;4.25;1;0;2;0;0;0.35;0;0;0;0;0;0;3;0;4;3;0;2;;;;1000;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4.5;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;1;6;;;;;;;0;OM;AS Monaco;sam. 28/01 21:00;50;0.6442;0.65036;;
Pereira Brayann;DL;1;1;4;0;4.63;2;0;4;1.41;0;1.11;0;0;0;1;0;0.5;180;0;193;90;0;48.25;;;;1000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;3;0;0;0;0;0;0;0;0;0;0;5.5;0;0;0;0;0;5;0;0;;;;;;;2;0.8015;121;2;5;63.33;1;;;0;AJ Auxerre;Montpellier;dim. 29/01 15:00;50;0.36653;0.3581;;🏠Hors groupe (2sem.)
Buksa Adam;A;3;6;4;0;4;4;0;4;0;0;0;0;0;0;0;0;0;59;0;59;14.75;0;14.75;;;;1000;0;0;0;0;0;0;0;0;0;4;4;4;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;0.6;28;;;20;4;;;4,00;RC Lens;Troyes;sam. 28/01 17:00;50;0.62931;0.61914;;† Pied
Camara Ousmane;MD;1;1;3.75;0;5.1;2;0;15;0.35;0;0.95;0;0;0;1;0;0.93;180;0;1182;90;0;78.8;;;;1000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3.5;4;0;0;0;5.5;5.5;4.5;3.5;5.5;5.5;0;0;5.5;0;0;0;6;0;6.5;6;5.5;4;5.5;;;;;;;;0.9355;148;2;1;60;1;;;0;Angers SCO;Brest;dim. 29/01 15:00;50;0.36549;0.31823;;🏠Hors groupe (2sem.)
Omari Warmed;DC;6;6;3.75;0;5;2;0;22;0.35;0;0.95;0;0;0;1;0;1;173;0;1965;86.5;0;89.32;;;;1000;0;3.5;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4.5;6;4;6;6;4;3;5;5;6;5.5;6.5;4.5;5;5.5;6;4.5;6;5;;;;;;;;0.9328;181;3;;64.71;1;;;6,00;Rennes;FC Lorient;ven. 27/01 21:00;50;0.61516;0.64509;;Sursis (7sem.)
Mawissa Elebi Christian;DC;5;5;3.25;0;3.25;2;0;2;2.47;0;2.47;0;0;0;0.5;0;0.5;97;0;97;48.5;0;48.5;;;;1000;0;0;5;1.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;0.8472;60;3;;45.45;2;;;0;Toulouse FC;Strasbourg;dim. 29/01 15:00;50;0.40019;0.41164;;
Sollacaro François-Joseph;G;7;7;3;0;4.92;1;0;6;0;0;1.5;0;0;0;1;0;0.67;90;0;494;90;0;82.33;;;;1000;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;6;4;5.5;0;0;0;0;0;0;0;0;0;0;7;4;0;0;0;0;;;;;;;;;;;;;;;;0;AC Ajaccio;OL;dim. 29/01 17:05;50;0.3532;0.33573;;
Leca Jean-Louis;G;7;7;0;0;5.61;0;0;9;0;0;1.39;0;0;0;0;0;1;0;0;739;0;0;82.11;;;;1000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;6.5;0;0;8;6;0;0;5;6;0;0;0;0;5.5;6;;;;;;;;;;;;;;;;0;RC Lens;Troyes;sam. 28/01 17:00;50;0.62931;0.61914;;
Pedro Mendes;DC;1;1;0;0;5.5;0;0;1;0;0;0;0;0;0;0;0;0;0;0;15;0;0;15;;;;1000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;0;Montpellier;AJ Auxerre;dim. 29/01 15:00;50;0.40248;0.37552;;† Cuisse
Moulin Jessy;G;7;7;0;0;5.5;0;0;7;0;0;0.91;0;0;0;0;0;1;0;0;630;0;0;90;;;;1000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6.5;0;6;6;5.5;4.5;6;4;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;0;Troyes;RC Lens;sam. 28/01 17:00;50;0.41205;0.37962;;🏠Hors groupe
Petric Denis;G;3;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;1000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;0;FC Nantes;Clermont;dim. 29/01 15:00;50;0.41769;0.45199;;🏠Hors groupe (2sem.)
Mollet Florent;MO;9;19;0;0;5.22;0;0;18;0;0;0.88;0;0;2;0;0;0.89;0;0;1288;0;0;71.56;;644;6.5;1000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;4;5.5;4;6;5.5;5;5;5;7.5;5;4.5;5.5;6;4.5;4.5;5;6.5;0;;;;;;;;;;;;;;;;0;FC Nantes;Clermont;dim. 29/01 15:00;50;0.41769;0.45199;;
Guilbert Frédéric;DL;9;9;0;0;5.03;0;0;19;0;0;0.98;0;0;0;0;0;0.79;0;0;1376;0;0;72.42;;;;1000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;5.5;0;4;4.5;5.5;5;4.5;6.5;5;6;4.5;5;5;6;7;3.5;4.5;5;;;;;;;;;;;;;;;;0;Strasbourg;Toulouse FC;dim. 29/01 15:00;50;0.49417;0.48132;;
Salin Romain;G;3;4;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;80;0;80;80;0;80;;;;1000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;0;Rennes;FC Lorient;ven. 27/01 21:00;50;0.61516;0.64509;;
Pellenard Théo;DL;1;1;0;0;5.21;0;0;17;0;0;0.59;0;0;1;0;0;1;0;0;1530;0;0;90;;1530;6;1000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5.5;5;5;5;5;6;6;5.5;4;5;4.5;5.5;6;6;4.5;5;5;0;0;;;;;;;;;;;;;;;;0;AJ Auxerre;Montpellier;dim. 29/01 15:00;50;0.36653;0.3581;;
Alhadhur Chaker;DL;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;1000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;0;AC Ajaccio;OL;dim. 29/01 17:05;50;0.3532;0.33573;;🏠Hors groupe (2sem.)
Kawashima Eiji;G;7;7;0;0;6;0;0;1;0;0;0;0;0;0;0;0;1;0;0;90;0;0;90;;;;1000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;;;;;;;;;;;;;;;;0;Strasbourg;Toulouse FC;dim. 29/01 15:00;50;0.49417;0.48132;;† Epaule (4sem.)
Letellier Alexandre;G;1;2;0;0;5;0;0;1;0;0;0;0;0;0;0;0;0;0;0;7;0;0;7;;;;1000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;0;Paris SG;Reims;dim. 29/01 20:45;50;0.78322;0.80856;;🏠Hors groupe (2sem.)
Schneiderlin Morgan;MD;1;1;0;0;5;0;0;14;0;0;0.68;0;0;0;0;0;0.29;0;0;496;0;0;35.43;;;;1000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5.5;4.5;5;0;0;0;4.5;0;0;5.5;5.5;5.5;6;5;4;5;5.5;0;3.5;;;;;;;;;;;;;;;;4.5;OGC Nice;LOSC;dim. 29/01 13:00;50;0.52477;0.53303;;
Jakubech Adam;G;3;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;1000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;0;LOSC;OGC Nice;dim. 29/01 13:00;50;0.60094;0.61564;;
Bertaud Dimitry;G;1;1;0;0;5.17;0;0;6;0;0;1.51;0;0;0;0;0;0.67;0;0;382;0;0;63.67;;;;1000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4.5;5;5;0;0;8;5;0;0;0;0;0;0;0;3.5;0;0;0;;;;;;;;;;;;;;;;0;Montpellier;AJ Auxerre;dim. 29/01 15:00;50;0.40248;0.37552;;† ACL (2sem.)
Azamoum Karim;MD;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;1000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;0;Troyes;RC Lens;sam. 28/01 17:00;50;0.41205;0.37962;;
Navas Keylor;G;7;7;0;0;5.45;0;0;11;0;0;0.82;0;0;0;0;0;1;0;0;983;0;0;89.36;;;;1000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5.5;0;4;0;5;6;0;0;0;0;6.5;6;0;4;5.5;0;6;0;5.5;;;;;;;;;;;;;;;;6,00;Paris SG;Reims;dim. 29/01 20:45;50;0.78322;0.80856;;
Rico Sergio;G;3;3;0;0;4.73;0;0;11;0;0;1.59;0;0;0;0;0;1;0;0;990;0;0;90;;;;1000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.5;5.5;6;2.5;6;6.5;5;4;0;0;5;4;6;0;0;0;;;;;;;;;;;;;;;;0;Paris SG;Reims;dim. 29/01 20:45;50;0.78322;0.80856;;
Geubbels Willem;MO;1;1;0;0;4.57;0;0;15;0;0;0.7;0;0;2;0;0;0.13;0;0;340;0;0;22.67;;170;6;1000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;5;0;5;3.5;4.5;4.5;4;4;4.5;6;4.5;0;4;4.5;6;4.5;0;;;;;;;;;;;;;;;;0;AS Monaco;OM;sam. 28/01 21:00;50;0.64699;0.64421;;🏠Hors groupe (2sem.)
Lumeka Levi;MO;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;1000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;0;Troyes;RC Lens;sam. 28/01 17:00;50;0.41205;0.37962;;🏠Hors groupe
Eneme-Ella Ulrick;A;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;1000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;0;Angers SCO;Brest;dim. 29/01 15:00;50;0.36549;0.31823;;† Ménisque
Léon Donovan;G;7;7;0;0;5.45;0;0;19;0;0;0.9;0;0;0;0;0;1;0;0;1710;0;0;90;;;;1000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5.5;5.5;6.5;5.5;4.5;5.5;5.5;4;4;5;5;6;6;7;5.5;6;4;7;5.5;;;;;;;;;;;;;;;;0;AJ Auxerre;Montpellier;dim. 29/01 15:00;50;0.36653;0.3581;;
Gomis Alfred;G;3;3;0;0;4.81;0;0;8;0;0;0.84;0;0;0;0;0;1;0;0;720;0;0;90;;;;1000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;6;4;0;0;0;0;0;0;0;4;6;5;4.5;0;0;0;0;0;;;;;;;;;;;;;;;;0;Rennes;FC Lorient;ven. 27/01 21:00;50;0.61516;0.64509;;
Bartouche Teddy;G;7;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;1000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;0;FC Lorient;Rennes;ven. 27/01 21:00;50;0.45225;0.45573;;
Djoco Ouparine;G;7;7;0;0;4.94;0;0;18;0;0;1.16;0;0;0;0;0;0.94;0;0;1575;0;0;87.5;;;;1000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4.5;6.5;5;4;5;6.5;5.5;0;4;3;4.5;3.5;5;7;4;6.5;6;4;0;;;;;;;;;;;;;;;;4,00;Clermont;FC Nantes;dim. 29/01 15:00;50;0.42058;0.41947;;
Laiton Sonny;G;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;1000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;0;AJ Auxerre;Montpellier;dim. 29/01 15:00;50;0.36653;0.3581;;🏠Hors groupe (2sem.)
N'Diaye Alassane;A;1;1;0;0;4.7;0;0;5;0;0;0.27;0;0;0;0;0;0;0;0;72;0;0;14.4;;;;1000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4.5;0;0;4.5;4.5;5;5;;;;;;;;;;;;;;;;0;AC Ajaccio;OL;dim. 29/01 17:05;50;0.3532;0.33573;;🏠Hors groupe (2sem.)
Ousoumane Camara Ousoumane;MD;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;1000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;0;AJ Auxerre;Montpellier;dim. 29/01 15:00;50;0.36653;0.3581;;
Ould Khaled Zinédine;MD;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;1000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;0;Angers SCO;Brest;dim. 29/01 15:00;50;0.36549;0.31823;;🏠Hors groupe (2sem.)
Lihadji Isaac;A;1;1;0;0;5.07;0;0;7;0;0;0.93;0;0;0;0;0;0.14;0;0;105;0;0;15;;;;1000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5.5;4.5;0;0;4;0;0;6;0;0;0;0;0;0;0;4.5;4.5;0;;;;;;;;;;;;;;;;5.5;LOSC;OGC Nice;dim. 29/01 13:00;50;0.60094;0.61564;;🏠Ecarté (2sem.)
